STATION,LATITUDE,LONGITUDE,ELEVATION,COUNTRY,AVG TEMP
UV000005502,13.58,-2.43,340.0,Burkina Faso,29.210732840952595
UV000005507,12.07,0.3499999999999999,301.0,Burkina Faso,28.54510632879132
UV000005522,10.330000000000002,-3.18,333.0,Burkina Faso,27.652866420475178
UV000065501,14.033,-0.033,277.0,Burkina Faso,29.57658920157822
UV000065516,11.75,-2.933,271.0,Burkina Faso,28.51100598497407
UVM00065503,12.353,-1.512,316.1,Burkina Faso,28.794663822743036
UVM00065510,11.16,-4.331,460.6,Burkina Faso,27.781289316184445
UVM00065518,11.15,-1.15,322.0,Burkina Faso,28.01430026741348
IV000005557,6.13,-5.95,205.0,Ivory Coast,26.246730548833415
IV000005562,6.65,-4.7,110.0,Ivory Coast,27.5393792181334
IV000005592,4.42,-7.369999999999999,4.0,Ivory Coast,26.21862090920484
IV000065585,5.3,-3.2999999999999994,39.0,Ivory Coast,26.604824270978742
IV000065599,4.95,-6.083,66.0,Ivory Coast,26.19998089901864
IVM00065545,8.05,-2.783,370.0,Ivory Coast,26.475978606901517
IVM00065560,6.793,-6.473000000000001,250.9,Ivory Coast,26.32395644976371
IVM00065563,6.903,-5.366,213.1,Ivory Coast,26.631087482489857
IVM00065578,5.261,-3.926,6.4,Ivory Coast,26.947588819559652
IVM00065594,4.747,-6.661,7.900000000000001,Ivory Coast,26.651196358079112
NG000001036,14.22,1.45,209.0,Niger,30.45780402393971
NG000001049,14.25,13.12,289.0,Niger,28.742387622564287
NG000001052,13.5,2.13,216.0,Niger,29.817111295046104
NG000001075,13.8,5.25,272.0,Niger,29.305501719088074
NG000001080,13.47,7.08,388.0,Niger,28.35168980007621
NG000001090,13.8,9.0,489.0,Niger,29.285384566407416
NG000061017,18.683,12.917,357.0,Niger,27.454938876862503
NG000061024,16.967,7.967,505.0,Niger,30.332847319495787
NG000061043,14.9,5.25,391.0,Niger,29.6627078823377
NG000061096,13.233,11.983,337.0,Niger,28.630559658729023
NGM00061045,13.983,10.3,460.0,Niger,28.356717178148667
NGM00061091,12.983,8.933,403.0,Niger,27.320835349548137
NGM00061099,11.883,3.45,202.0,Niger,29.393012861326994
UVM00065505,12.467,3.483,300.0,Niger,29.129571501336954
TO000005361,8.98,1.13,400.0,Togo,26.568801731821765
TO000005376,7.58,1.12,402.0,Togo,26.270730294155584
TOM00065352,10.367,0.467,146.0,Togo,28.799088883229835
TOM00065355,9.767,1.091,461.80000000000007,Togo,26.837322679230933
TOM00065387,6.166,1.255,21.9,Togo,27.323384693747748
GAM00061701,13.338000000000001,-16.652,29.0,Gambia,25.705806698077104
ML000061297,11.35,-5.683,375.0,Mali,27.669086973130803
MLM00061230,15.232999999999999,-9.35,237.0,Mali,29.685744938240063
MLM00061257,14.482,-11.44,51.5,Mali,30.265261683432943
MLM00061265,14.513,-4.08,276.1,Mali,29.417515599134255
MLM00061272,13.400000000000002,-6.15,289.0,Mali,28.894655545651474
MLM00061277,13.333,-4.833,284.0,Mali,29.489576594931673
MLM00061291,12.534,-7.95,380.1,Mali,27.8548701133318
MLM00061293,12.383,-5.467,367.0,Mali,28.239759964344795
MLM00061296,11.417,-7.5,351.0,Mali,27.808860944861298
PUM00061766,11.895,-15.654,39.29999999999999,Guinea Bissau,28.378482745448167
BN000005319,10.32,1.4799999999999998,460.0,Benin,26.80302559531283
BN000005344,6.35,2.38,4.0,Benin,27.505706099580028
BN000065306,11.133,2.933,292.0,Benin,27.906960397299667
BN000065335,8.032,2.467,200.0,Benin,27.22995670444382
BNM00065330,9.35,2.617,393.0,Benin,26.947415000636205
BNM00065338,7.167000000000001,2.067,167.0,Benin,27.101147332229676
NIM00065201,6.577,3.321,41.1,Nigeria,27.174522475487837
SG000001627,15.38,-15.15,21.0,Senegal,29.62233987011322
SG000061612,16.633,-14.917,7.0,Senegal,29.794069782247902
SG000061641,14.733,-17.5,24.0,Senegal,24.470768496116435
SG000061687,13.767,-13.683,50.0,Senegal,29.75591175347041
SGM00061600,16.051,-16.463,2.7,Senegal,25.748903603718706
SGM00061630,15.65,-13.25,17.0,Senegal,30.716659875206503
SGM00061666,14.65,-16.233,9.0,Senegal,28.79733095632264
SGM00061679,14.147,-16.051,7.9,Senegal,28.803902330319822
SGM00061695,12.556,-16.282,22.9,Senegal,27.08018527951144
SGM00061697,12.41,-16.746,15.8,Senegal,26.242363427990316
SGM00061698,12.883,-14.967,10.0,Senegal,28.952018336940974
SGM00061699,12.572,-12.219999999999999,178.0,Senegal,29.47318922704735
SL000061856,8.617,-13.2,27.0,Sierra Leone,27.166295683179285
LIM00065660,6.234,-10.362,9.4,Liberia,27.302026614034904
GHM00065472,5.605,-0.167,62.5,Ghana,27.47201388004664
CVM00008594,16.741,-22.949,53.9,Cape Verde,23.758663568062513
GV000001832,9.57,-13.62,46.0,Guinea,27.22786260028072
